2021-01-29 14:18:56,bytearray(b'\x00\x00\x00\x00\x00'),-86,10.0
2021-01-29 14:20:29,bytearray(b'\xff&\x10_JV~\x00F\x01r\x01\xb5c\xd5\xfc'),-123,-7.25
2021-01-29 14:26:09,bytearray(b'\xff&\x10_JV~\x00F\x01r\x01\xb5c\xd5\xfc'),-121,-6.75
2021-01-29 14:31:49,bytearray(b'\xff&\x10_JV~\x00F\x01r\x01\xb5c\xd5\xfc'),-122,-6.5
2021-01-29 14:37:30,bytearray(b'\xff&\x10_JV~\x00F\x01r\x01\xb5c\xd5\xfc'),-122,-7.5
2021-01-29 14:43:10,bytearray(b'\xff&\x10_JV~\x00F\x01r\x01\xb5c\xd5\xfc'),-117,-11.5
2021-01-29 14:48:50,bytearray(b'\xff&\x10_JV~\x00F\x01r\x01\xb5c\xd5\xfc'),-122,-6.25
2021-01-29 14:48:53,bytearray(b'\xff\xe6_R\x93\\\x9f\x03h\xc0\x01\xb0af\xf8'),-122,-15.5
2021-01-29 14:53:40,bytearray(b'\xff&\x10_JV~\x00F\x01r\x01\xb5c\xd5\xfc'),-121,-5.0
2021-01-29 14:59:19,bytearray(b'\xff&\x10_JV~\x00F\x01r\x01\xb5c\xd5\xfc'),-120,-5.75
2021-01-29 15:04:59,bytearray(b'\xff&\x10_JV~\x00F\x01r\x01\xb5c\xd5\xfc'),-121,-5.75
2021-01-29 15:04:59,bytearray(b'\x00\x00\x00\x00\x00'),-90,9.0
2021-01-29 15:10:39,bytearray(b'\xff&\x10_JV~\x00F\x01r\x01\xb5c\xd5\xfc'),-123,-6.0
2021-01-29 15:10:40,bytearray(b'\x00\x00\x00\x00\x00'),-90,9.75
2021-01-29 15:16:20,bytearray(b'\xff&\x10_JV~\x00F\x01r\x01\xb5c\xd5\xfc'),-122,-5.5
2021-01-29 15:18:50,bytearray(b'\xff&\x0f\x07ZP\x00\x00a\xbf\x010\xe7\n\xe1'),-122,-12.75
2021-01-29 15:22:00,bytearray(b'\xff&\x10_JV~\x00F\x01r\x01\xb5c\xd5\xfc'),-122,-6.0
2021-01-29 15:27:40,bytearray(b'\xff&\x10_JV~\x00F\x01r\x01\xb5c\xd5\xfc'),-122,-6.25
2021-01-29 15:33:20,bytearray(b'\xff&\x10_JV~\x00F\x01r\x01\xb5c\xd5\xfc'),-122,-6.25
2021-01-29 15:33:20,bytearray(b'\x00\x00\x00\x00\x00'),-91,11.5
2021-01-29 15:39:00,bytearray(b'\xff&\x10_JV~\x00F\x01r\x01\xb5c\xd5\xfc'),-122,-5.75
2021-01-29 15:44:40,bytearray(b'\xff&\x10_JV~\x00F\x01r\x01\xb5c\xd5\xfc'),-121,-5.5
2021-01-29 15:48:47,bytearray(b'\x00\x00\x00\x00\x00'),-91,12.0
2021-01-29 15:50:21,bytearray(b'\xff&\x10_JV~\x00F\x01r\x01\xb5c\xd5\xfc'),-122,-5.75
